IsSender,StrContent,StrTime,keywords,emoji
0,哈哈哈哈哈,2024-10-08 19:54:26,哈哈哈,
0,你天天都这个点下课呀,2024-10-09 16:38:08,下课,
0,赶到图书馆只能学1个小时了,2024-10-09 16:38:34,"赶到, 图书馆, 学",
0,笑死,2024-10-09 16:38:37,笑死,
1,差不多,2024-10-09 16:39:41,差不多,
1,待到6:30正好去velodrome吃饭,2024-10-09 16:40:03,"正好, velodrome, 吃",
0,好好好,2024-10-09 16:43:22,好好,
0,时间管理大师,2024-10-09 16:43:29,"时间, 管理, 大师",
0,太远了吧,2024-10-09 16:43:40,太远,
0,Velodrome ,2024-10-09 16:43:46,Velodrome,
1,还可以，和我住的地方不算太远,2024-10-09 16:45:19,"住, 不算, 太远",
1,你的乐器是在线下买的还是线上买的,2024-10-09 20:29:33,"乐器, 在线, 买, 线上, 买",
0,我收的二手,2024-10-09 21:21:22,"我收, 二手",
1,我没有琴弦用了，网购要满60欧，不知道线下店什么价格,2024-10-09 21:23:05,"琴弦, 网购, 满, 欧, 线下, 店, 价格",
0,我从国内有带一根琴弦过来,2024-10-09 21:47:26,"国内, 有带, 一根, 琴弦, 过来",
0,不知道能不能用,2024-10-09 21:47:33,不能,
0,下次拿给你,2024-10-09 21:47:37,拿给,
1,木电吉他的弦应该不通用吧,2024-10-09 21:51:59,"木, 电吉他, 弦, 通用",
1,我已经连续崩断三根弦了[捂脸],2024-10-09 21:52:11,"连续, 崩断, 三根, 弦",[捂脸]
0,三根？！,2024-10-09 21:52:25,三根,
0,你是有多大力,2024-10-09 21:52:32,大力,
1,一开始以为是拨片太垃圾了，现在感觉是琴桥上有划痕把弦割断了,2024-10-09 21:53:26,"拨片, 垃圾, 琴桥, 划痕, 弦, 割断",
1,所以之后再去action找一下砂纸磨一下,2024-10-09 21:53:52,"action, 找, 砂纸, 磨",
0,琴桥有问题？,2024-10-09 21:54:43,"琴桥, 问题",
0,你什么时候去action,2024-10-09 21:55:01,action,
0,我想去旁边那个大match来着,2024-10-09 21:55:19,"旁边, match",
1,明天下午吧，可能没有课,2024-10-09 21:55:47,课,
1,学校面试辅导，还要组4人group，然后我还要等邮件,2024-10-09 21:56:41,"学校, 面试, 辅导, 组, group, 邮件",
1,他总是在上课前一会才发邮件,2024-10-09 21:57:08,"总是, 上课, 发邮件",
0,你不是才M1吗,2024-10-09 21:58:06,M1,
0,面试什么,2024-10-09 21:58:10,面试,
0,你们没课表吗,2024-10-09 21:58:26,课表,
1,m1结束的暑假要实习,2024-10-09 22:05:01,"m1, 结束, 暑假, 实习",
1,课表的话看情况可能会变,2024-10-09 22:05:26,"课表, 情况, 会变",
1,比如这种乱七八糟的课,2024-10-09 22:05:33,"乱七八糟, 课",
1,还有讲座什么的，那种就直接翘掉[好的],2024-10-09 22:05:55,"讲座, 翘, 掉, [, ]",
0,哈哈哈哈好,2024-10-09 22:34:10,哈哈哈哈,
0,早点休息,2024-10-09 22:34:27,"早点, 休息",
1,早休息不了一点[旺柴]虽然明天早八，但是明天都是语言课不用脑子，晚上快乐刷手机,2024-10-09 22:36:17,"早, 休息, 不了, 早八, 语言, 课, 不用, 脑子, 快乐, 刷, 手机",[旺柴]
1,你也早点睡,2024-10-09 22:36:46,"早点, 睡",
0,好好好,2024-10-09 22:37:16,好好,
0,晚安捏,2024-10-09 22:37:20,"晚安, 捏",
1,我去你睡这么早,2024-10-09 22:37:43,"睡, 早",
0,我是老干部作息,2024-10-09 22:37:46,"老干部, 作息",
0,11点睡7点起,2024-10-09 22:37:58,"睡, 点起",
1,厉害，分我点自制力,2024-10-09 22:38:05,"厉害, 我点, 自制力",
0,主要是精力不够,2024-10-09 22:38:14,"精力, 不够",
0,你分我点精力,2024-10-09 22:38:22,"你分, 我点, 精力",
1,我是纯作死[旺柴]，还是你的作息好,2024-10-09 22:38:48,"纯作, 死, 作息",[旺柴]
0,适合自己的就是最好的,2024-10-09 22:39:11,"适合, 最好",
0,好，失眠了,2024-10-10 00:49:32,失眠,
0,我能问问你读的是哪个项目吗,2024-10-10 10:03:49,"我能, 读, 项目",
0,我看他还有英文授课耶,2024-10-10 10:04:46,"英文, 授课, 耶",
1,ICM,2024-10-10 10:06:42,ICM,
1,在学校里叫FICM,2024-10-10 10:06:52,"学校, FICM",
1,英文授课感觉没什么存在感，主要是给erasmus提供的,2024-10-10 10:07:22,"英文, 授课, 没什么, 存在, 感, erasmus, 提供",
0,感恩,2024-10-10 10:08:18,感恩,
0,我今晚没事了,2024-10-10 10:08:28,"今晚, 没事",
1,含金量在FICM[旺柴]如果被FICM淘汰了还有FIGM收,2024-10-10 10:08:30,"含金量, FICM, FICM, 淘汰, FIGM, 收",[旺柴]
0,5点15下课,2024-10-10 10:08:35,下课,
0,要不要来我家吃饭,2024-10-10 10:08:43,"不要, 我家, 吃",
1,今晚陈晓轩叫我去吃拉面,2024-10-10 10:09:12,"今晚, 陈晓轩, 吃, 拉面",
1,有约了[旺柴],2024-10-10 10:09:19,约,[旺柴]
1,周末哪天,2024-10-10 10:09:25,"周末, 天",
0,没事,2024-10-10 10:09:36,没事,
0,被你们孤立是我的命运我了解,2024-10-10 10:09:51,"孤立, 命运, 了解",
0,哈哈哈哈其实也没事，主要想问你申学校的事,2024-10-10 10:10:41,"哈哈哈哈, 其实, 没事, 申, 学校",
0,周末可以叫上小轩一起喝点东西,2024-10-10 10:11:06,"周末, 小轩, 一起, 喝点",
1,我昨天还问吃拉面的还有谁[捂脸]她说没别人了,2024-10-10 10:11:20,"吃, 拉面, 别人",[捂脸]
1,她的锅[破涕为笑],2024-10-10 10:11:29,锅,[破涕为笑]
0,好好好,2024-10-10 10:11:30,好好,
0,我开玩笑的,2024-10-10 10:11:45,开玩笑,
1,现在开始学阿语,2024-10-10 10:14:03,学阿语,
1,比法语有用[捂脸],2024-10-10 10:14:14,"法语, 有用",[捂脸]
0,为什么要学阿语呀,2024-10-10 10:14:31,"要学, 阿语",
1,因为阿人太多了,2024-10-10 10:14:46,"阿人, 太多",
0,好伐,2024-10-10 10:16:10,好伐,
0,我在上contrôle de gestion ,2024-10-10 10:17:54,"contr, le, de, gestion",
0,企业管理吧,2024-10-10 10:18:14,"企业, 管理",
1,在amphi上的课我都会睡过去,2024-10-10 10:19:35,"amphi, 课, 睡过去",
1,太好摸鱼了,2024-10-10 10:19:50,"太好, 摸鱼",
0,哈哈哈哈,2024-10-10 10:28:48,哈哈哈哈,
1,周末吃饭什么时候,2024-10-10 17:32:03,"周末, 吃",
0,想出去吃吗,2024-10-10 17:34:39,"出去, 吃",
1,去你家吧,2024-10-10 17:35:33,你家,
1,感觉你对厨艺很自信[旺柴],2024-10-10 17:35:43,"厨艺, 自信",[旺柴]
1,我周五晚上到周末都有空,2024-10-10 17:36:10,"周五, 周末, 有空",
0,周末吧,2024-10-10 17:37:54,周末,
1,周几啊,2024-10-10 17:44:17,周几,
0,周日,2024-10-10 18:05:03,周日,
1,okkk,2024-10-10 18:06:32,okkk,
0,你想吃什么,2024-10-10 18:10:30,吃,
1,中餐就行,2024-10-10 18:19:23,"中餐, 就行",
1,我不忌口[旺柴],2024-10-10 18:19:27,忌口,[旺柴]
1,金钱的气息,2024-10-12 14:56:50,"金钱, 气息",
1,网上卖5.9的弦这里要9,2024-10-12 14:57:07,"网上, 卖, 弦",
0,这么贵,2024-10-12 15:35:56,贵,
0,你还是网上买吧,2024-10-12 15:36:11,"网上, 买",
0,我在学finance,2024-10-12 15:36:36,"学, finance",
0,这是在市中心吗,2024-10-12 15:37:23,市中心,
1,太好学了,2024-10-12 15:38:19,好学,
1,对在市中心,2024-10-12 15:38:24,市中心,
0,十一月7号考试,2024-10-12 15:38:37,"十一月, 考试",
0,过程对了答案错了也算错,2024-10-12 15:38:45,"过程, 答案, 错, 算错",
0,我不想得0分啊[苦涩],2024-10-12 15:38:55,不想,[苦涩]
0,哪家店,2024-10-12 15:39:16,"哪家, 店",
0,你知道市中心有很多古着店吗,2024-10-12 15:39:27,"市中心, 古着, 店",
0,你喜欢古着吗,2024-10-12 15:39:40,"喜欢, 古着",
1,我6号考试还没开始复习,2024-10-12 15:39:40,"考试, 复习",
0,Vintage,2024-10-12 15:39:45,Vintage,
0,Ddl大王,2024-10-12 15:39:53,"Ddl, 大王",
1,我去过几家，感觉质量不太行啊,2024-10-12 15:40:04,"去过, 几家, 质量, 太行",
0,我只去过一家,2024-10-12 15:40:19,"去过, 一家",
0,小轩？,2024-10-12 15:40:38,小轩,
1,暑假的时候和老外去的,2024-10-12 15:40:54,"暑假, 老外",
0,下次一起去逛古着店呗,2024-10-12 15:40:56,"一起, 去逛, 古着, 店",
0,我觉得还蛮好玩的,2024-10-12 15:41:06,好玩,
0,暑假啊？,2024-10-12 15:41:29,暑假,
1,7月就是暑假么,2024-10-12 15:42:08,暑假,
1,在这夏令营吧,2024-10-12 15:42:18,夏令营,
0,你参加他们的夏令营啦？,2024-10-12 15:42:34,夏令营,
0,怎么样，好玩不,2024-10-12 15:42:41,好玩,
0,会学很多专业课吗,2024-10-12 15:42:55,"会学, 专业课",
1,就是每天上午上三小时语言，下午没事所以和同学出去逛街,2024-10-12 15:43:37,"三, 语言, 没事, 同学, 出去, 逛街",
1,然后每周五组织去参观南锡的博物馆,2024-10-12 15:43:55,"每周五, 组织, 参观, 南锡, 博物馆",
0,这么爽,2024-10-12 15:43:58,爽,
1,不过完全听不懂讲解,2024-10-12 15:44:04,"完全, 听不懂, 讲解",
0,这是强制的吗,2024-10-12 15:44:12,强制,
1,参加夏令营是强制的，不过上了想请假应该都可以,2024-10-12 15:45:41,"夏令营, 强制, 请假",
0,你去过南锡的海洋馆没,2024-10-12 15:46:12,"去过, 南锡, 海洋馆",
1,在市中心那个吗,2024-10-12 15:47:36,市中心,
1,你明天做饭要买啥吗，我在亚超,2024-10-12 15:49:21,"做饭, 买, 亚超",
0,我去match,2024-10-12 16:00:34,match,
0,没事你不管,2024-10-12 16:00:40,没事,
0,这个爪爪好好喝,2024-10-12 16:56:16,"爪, 爪, 好喝",
1,没尝过,2024-10-12 17:00:20,没尝过,
1,什么味的,2024-10-12 17:00:37,味,
0,原味的吧,2024-10-12 17:06:13,原味,
0,你吃内脏吗,2024-10-12 18:50:40,"吃, 内脏",
1,吃的,2024-10-12 19:18:24,吃,
0,你能吃辣吗,2024-10-12 19:34:02,"吃, 辣",
1,非常能,2024-10-12 19:34:21,非常,
0,真假,2024-10-12 19:52:13,真假,
0,你哪人,2024-10-12 19:52:18,哪人,
1,老家连云港,2024-10-12 19:52:56,"老家, 连云港",
0,江苏？！,2024-10-12 19:55:06,江苏,
0,高考地狱难度,2024-10-12 19:55:34,"高考, 地狱, 难度",
0,我舍友要晚一点才回来，我们六点半吃饭可以吗,2024-10-13 11:45:42,"舍友, 晚一点, 回来, 六点半, 吃",
1,okok,2024-10-13 11:46:07,okok,
0,Rick and Morty,2024-10-13 20:07:03,"Rick, Morty",
1,grand frais,2024-10-13 20:55:06,"grand, frais",
0,爱乐之城,2024-10-13 21:12:57,"爱乐, 城",
0,星际穿越,2024-10-13 21:13:49,"星际, 穿越",
1,我到家了,2024-10-13 23:04:41,家,
0,早点休息,2024-10-13 23:06:41,"早点, 休息",
0,晚安,2024-10-13 23:06:44,晚安,
0,确实香,2024-10-14 13:30:30,"确实, 香",
0,谢谢你,2024-10-14 13:30:32,谢谢,
1,不用谢,2024-10-14 14:49:22,不用谢,
1,应该的[破涕为笑],2024-10-14 14:49:29,,[破涕为笑]
0,到家了吗,2024-10-14 19:15:09,到家,
0,你今天说的那个卢森堡🇱🇺的城市叫什么来着,2024-10-14 19:15:26,"卢森堡, 城市",
1,到家了,2024-10-14 19:37:22,到家,
1,thionville,2024-10-14 19:37:39,thionville,
0,谢谢,2024-10-14 19:48:05,谢谢,
1,今天crous鱼排饭巨好吃,2024-10-15 12:15:21,"crous, 鱼排, 饭, 巨, 好吃",
1,还有西兰花,2024-10-15 12:15:26,西兰花,
0,不信,2024-10-15 12:15:49,信,
0,给我拍,2024-10-15 12:15:50,拍,
1,没有啥卖相,2024-10-15 12:16:36,卖相,
1,就是好吃,2024-10-15 12:16:42,好吃,
0,好好好,2024-10-15 12:17:06,好好,
0,我准备回家吃剩饭,2024-10-15 12:17:13,"准备, 回家, 吃, 剩饭",
0,和小轩？,2024-10-15 12:17:51,小轩,
0,她吃的啥,2024-10-15 12:17:55,吃,
1,和她吃饭随缘,2024-10-15 12:18:59,"吃, 随缘",
